course_code,full_title,type,info,url
UDSPPCPE,"BSc Sport Psychology, Coaching and Physical Education",Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSPPCPE/BSc-Sport-Psychology-Coaching-and-Physical-Education/
UDTEXTLS,BA (Hons) Textiles,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTEXTLS/BA-(Hons)-Textiles/
UDTHEFLM,BA Theatre and Film,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTHEFLM/BA-Theatre-and-Film/
UDTHTPFT,BA (Hons) Theatre and Performance (Top-up),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTHTPFT/BA-(Hons)-Theatre-and-Performance-(Top-up)/
UDTHTPRF,BA (Hons) Theatre and Performance,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTHTPRF/BA-(Hons)-Theatre-and-Performance/
UDTHTREF,BA (Hons) Theatre and Film (Top-Up),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTHTREF/BA-(Hons)-Theatre-and-Film-(Top-Up)/
UDTOPLAW,LLB Law (Top-up) (Distance Learning),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTOPLAW/LLB-Law-(Top-up)-(Distance-Learning)/
UDTRASTU,BA Translation,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTRASTU/BA-Translation/
UDTTOMAG,BA (Hons) Tourism and Travel Management (Top-up),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTTOMAG/BA-(Hons)-Tourism-and-Travel-Management-(Top-up)/
UDTTRMAN,BA Tourism and Travel Management,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTTRMAN/BA-Tourism-and-Travel-Management/
UDTTRMFY,BA (Hons) Tourism and Travel Management (including foundation ...,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTTRMFY/BA-(Hons)-Tourism-and-Travel-Management-(including-foundation-year)/
UDTXTIFY,BA (Hons) Textiles (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTXTIFY/BA-(Hons)-Textiles-(including-foundation-year)/
UDTXTLTU,BA (Hons) Textiles (Top-up),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDTXTLTU/BA-(Hons)-Textiles-(Top-up)/
UDYOUJUS,BA (Hons) Youth Justice,Undergraduate,,
UDYTHSFY,BSc (Hons) Youth Studies (including foundation year),Undergraduate,,
UDYTHSTU,BSc Youth Studies,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDYTHSTU/BSc-Youth-Studies/
UDYTWKJR,BSc (Hons) Youth Work (with JNC Recognition),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDYTWKJR/BSc-(Hons)-Youth-Work-(with-JNC-Recognition)/
UOIFPAID,International Foundation Programme Architecture and Interior D...,Undergraduate,,
UOIFPAMD,International Foundation Programme Art Media and Design,Undergraduate,,
UOIFPBSM,International Foundation Programme Business Management,Undergraduate,,
UOIFPCTM,"International Foundation Programme Computing, Technology and M...",Undergraduate,,
UOIFPLAW,International Foundation Programme Law,Undergraduate,,
UOIFPSCI,International Foundation Programme Sciences,Undergraduate,,
UOIFPSSH,International Foundation Programme Social Sciences and Humanities,Undergraduate,,
USCIMCPM,CIM Certificate in Professional Marketing,Undergraduate,,
USICMCM3,CICM Diploma in Credit Management Level 3,Undergraduate,,
USICMCM5,CICM Diploma in Credit Management Level 5,Undergraduate,,
